artist,danceability,energy_i,loudness,speechiness,acousticness,instrumentalness,liveness,valence_i,tempo,valence_l,arousal,dominance,goodness,energy_l,structure,power,danger,scored_words,genre
$NOT,0.753,0.777,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,0.1122997278911564,-0.079966,0.0137225510204081,0.1155389591836734,-0.0764483741496598,0.0006618367346938,0.0276411700680272,-0.1357554897959183,147,hip hop
$uicideboy$,0.7733,0.7163,-5.6885,0.14923,0.16481,0.000237373,0.1720999999999999,0.4478,132.78609999999998,0.091047839047061,-0.0654963495314675,0.0201304175497797,0.0981080037983454,-0.0576468840994939,-0.0060269677427462,0.0286102854828537,-0.1101353345880618,2708,hip hop
21 Savage,0.76275,0.6735,-7.47,0.18355,0.03631,0.0003639725,0.203,0.294,148.7905,0.1123999724834097,-0.0454261650800594,0.0558542629658563,0.130749937480733,-0.0251281560465383,-0.0094848259074422,0.0746858381949625,-0.1102224626800603,1415,hip hop
24kGoldn,0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,0.08116,-0.0713459999999999,0.0084449999999999,0.08481619,-0.0672305699999999,-0.0058942599999999,0.012434825,-0.107513275,200,hip hop
2Pac,0.763,0.85,-3.052,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,0.1130591556728232,-0.0808076886543535,0.0308318073878628,0.1245570052770448,-0.0679890316622691,-0.0112178232189973,0.0399995751978891,-0.1361506569920844,379,hip hop
4*TOWN ,0.905,0.631,-10.06,0.177,0.129,0.0,0.101,0.751,105.026,0.1033335353535353,-0.040029973063973,0.0382423063973064,0.1136351111111111,-0.0287773771043771,0.0012513939393939,0.0600034848484848,-0.1007008215488215,297,niche or unknown
50 Cent,0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,0.0975851660516605,-0.06976673800738,0.0286826383763837,0.1085089778597786,-0.0575767047970479,-0.0111189926199262,0.0360144833948339,-0.1174403136531365,271,hip hop
A Boogie Wit da Hoodie,0.844,0.7205,-4.7575,0.06025,0.336,0.0,0.133,0.6819999999999999,132.5055,0.1466825895856662,-0.0938053337066069,0.0282443141097424,0.1542924577407615,-0.0854783504759238,-0.0004429172592385,0.0486588418952967,-0.1695435600643897,387,hip hop
A$AP Rocky,0.7143333333333333,0.597,-7.058666666666666,0.285,0.2142666666666667,1.49e-06,0.4639999999999999,0.422,144.21333333333334,0.1171214160417963,-0.0621832014533685,0.0309806437743067,0.1253559144126219,-0.0531903816434013,0.0007720453947586,0.0510286887321825,-0.1262513160693177,851,hip hop
AJR,0.68,0.696,-6.977,0.051,0.116,0.0,0.607,0.684,115.962,0.0716231718061674,-0.0431686431718061,-0.0033312114537445,0.0667025154185022,-0.0488458370044052,0.0130131277533039,0.0126264801762114,-0.0817049647577092,227,indie
Adele,0.569,0.5455,-5.7125,0.0371,0.3344999999999999,0.0,0.0797,0.34,115.0395,0.1427586714831466,-0.0364212613113646,0.0484274020894513,0.1520502293978533,-0.0265672570817848,0.0150533817406897,0.0887298680384105,-0.1263016102484472,639,pop
Andrew Gold,0.806,0.447,-10.181,0.0461,0.27,3.7e-06,0.335,0.914,77.033,0.0382459574468085,-0.0527266382978723,0.0055577659574468,0.0435816063829787,-0.0465890638297872,-0.0142767659574468,-0.0021266223404255,-0.0637602553191489,188,pop
